,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
1767,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown
1795,60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown
1806,26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown
1832,40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown
1850,28,blue-collar,single,secondary,no,-197,yes,no,unknown,9,may,2016,2,-1,0,unknown
1863,33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown
2053,45,blue-collar,married,primary,no,101,yes,no,unknown,12,may,460,5,-1,0,unknown
2096,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown
2328,35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,-1,0,unknown
2347,33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown
2377,38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown
2387,24,services,single,secondary,yes,-122,yes,no,unknown,13,may,1000,1,-1,0,unknown
2388,54,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,-1,0,unknown
2404,34,blue-collar,divorced,secondary,no,383,yes,no,unknown,13,may,2231,1,-1,0,unknown
2474,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown
2483,60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown
2485,48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown
2486,45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown
2507,36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown
2519,52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown
2545,37,entrepreneur,divorced,secondary,no,175,yes,yes,unknown,13,may,753,6,-1,0,unknown
2650,46,blue-collar,married,primary,no,369,yes,no,unknown,13,may,916,2,-1,0,unknown
2709,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown
2720,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown
2767,52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown
2779,53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown
2799,48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown
2821,41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,1,-1,0,unknown
2831,39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown
2845,59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown
2865,41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown
2870,48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown
2882,40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown
2897,48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown
2929,60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown
2955,40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown
2982,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown
3004,51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown
3145,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown
3190,41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,-1,0,unknown
3193,46,admin.,married,secondary,no,556,yes,yes,unknown,15,may,646,3,-1,0,unknown
3214,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown
3225,43,self-employed,single,unknown,no,3173,no,no,unknown,15,may,746,1,-1,0,unknown
3294,59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,-1,0,unknown
3300,44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown
3314,49,admin.,single,secondary,no,716,yes,no,unknown,15,may,1257,3,-1,0,unknown
3324,49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown
3331,50,entrepreneur,married,primary,no,461,yes,no,unknown,15,may,651,32,-1,0,unknown
3371,40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown
3378,41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,-1,0,unknown
3454,44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,2,-1,0,unknown
3497,60,services,single,primary,no,313,yes,no,unknown,15,may,920,2,-1,0,unknown
3500,29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,2,-1,0,unknown
3509,41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,2,-1,0,unknown
3519,41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown
3548,42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,6,-1,0,unknown
3557,46,blue-collar,married,secondary,no,668,yes,no,unknown,15,may,1263,2,-1,0,unknown
3571,32,services,single,secondary,no,772,yes,no,unknown,15,may,697,3,-1,0,unknown
3677,36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown
3681,39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,-1,0,unknown
3701,33,management,married,tertiary,no,273,yes,no,unknown,16,may,803,1,-1,0,unknown
3702,42,admin.,divorced,secondary,no,153,yes,no,unknown,16,may,844,1,-1,0,unknown
3708,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown
3712,40,services,married,secondary,no,446,yes,no,unknown,16,may,1252,1,-1,0,unknown
3714,26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown
3730,45,blue-collar,married,primary,no,804,yes,no,unknown,16,may,528,1,-1,0,unknown
3749,31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown
3770,29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,-1,0,unknown
3804,27,technician,single,secondary,no,1742,yes,no,unknown,16,may,787,1,-1,0,unknown
3819,37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown
3829,40,blue-collar,married,primary,no,1758,yes,no,unknown,16,may,1230,3,-1,0,unknown
3830,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown
3835,24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,-1,0,unknown
3840,24,blue-collar,married,primary,no,656,yes,no,unknown,16,may,894,1,-1,0,unknown
3876,50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,1,-1,0,unknown
3881,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown
3982,54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown
3999,30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,-1,0,unknown
4035,34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,4,-1,0,unknown
4042,37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,4,-1,0,unknown
4090,41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown
4136,47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,2,-1,0,unknown
4185,31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,1,-1,0,unknown
4200,31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown
4271,43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,-1,0,unknown
4313,37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,-1,0,unknown
4326,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown
4329,41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,-1,0,unknown
4377,30,technician,single,tertiary,no,3291,yes,no,unknown,19,may,1218,3,-1,0,unknown
4402,36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown
4416,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,1,-1,0,unknown
4427,29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown
4431,35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,1,-1,0,unknown
4455,31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown
4509,35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,1,-1,0,unknown
4607,34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,4,-1,0,unknown
4634,31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown
4640,44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown
4675,36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown
4682,39,technician,single,secondary,no,1022,yes,no,unknown,20,may,1410,2,-1,0,unknown
4719,35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,-1,0,unknown
4753,41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,-1,0,unknown
4765,31,blue-collar,married,secondary,no,3311,yes,no,unknown,20,may,719,1,-1,0,unknown
4813,31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,1,-1,0,unknown
4818,34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown
4835,32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown
4866,36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown
4897,30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,1,-1,0,unknown
4916,37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown
4941,54,management,divorced,tertiary,no,487,yes,no,unknown,21,may,828,4,-1,0,unknown
4948,36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,-1,0,unknown
5003,31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,-1,0,unknown
5024,27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown
5034,34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,1,-1,0,unknown
5052,32,services,single,secondary,no,-198,yes,no,unknown,21,may,681,3,-1,0,unknown
5055,30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,2,-1,0,unknown
5057,32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown
5144,37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,-1,0,unknown
5162,38,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,611,2,-1,0,unknown
5174,32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown
5194,33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,-1,0,unknown
5236,35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,8,-1,0,unknown
5251,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown
5276,30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown
5283,30,blue-collar,married,secondary,no,278,yes,yes,unknown,23,may,1073,1,-1,0,unknown
5342,34,blue-collar,married,secondary,no,2495,yes,no,unknown,23,may,924,1,-1,0,unknown
5470,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown
5483,45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,3,-1,0,unknown
5499,33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown
5515,33,blue-collar,divorced,secondary,no,3546,yes,no,unknown,23,may,777,2,-1,0,unknown
5542,44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,-1,0,unknown
5546,40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,-1,0,unknown
5575,31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,2,-1,0,unknown
5669,30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,-1,0,unknown
5705,44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,-1,0,unknown
5741,34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown
5768,31,admin.,single,secondary,no,747,yes,no,unknown,26,may,543,2,-1,0,unknown
5783,45,blue-collar,married,secondary,no,61,yes,no,unknown,26,may,745,4,-1,0,unknown
5803,37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown
5846,28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,2,-1,0,unknown
5856,32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,3,-1,0,unknown
5866,37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,-1,0,unknown
5888,34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,-1,0,unknown
5932,38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,2,-1,0,unknown
5938,28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,-1,0,unknown
5959,31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,4,-1,0,unknown
5973,30,services,married,secondary,no,129,yes,no,unknown,26,may,1446,7,-1,0,unknown
5976,30,admin.,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,-1,0,unknown
6005,59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,-1,0,unknown
6006,24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown
6021,26,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,-1,0,unknown
6112,59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown
6141,53,technician,married,secondary,no,-725,yes,no,unknown,27,may,1205,1,-1,0,unknown
6162,30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown
6184,28,management,single,tertiary,no,939,yes,no,unknown,27,may,740,1,-1,0,unknown
6270,37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown
6312,24,self-employed,single,tertiary,no,2984,yes,no,unknown,27,may,935,1,-1,0,unknown
6337,30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown
6391,25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,-1,0,unknown
6451,44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,2,-1,0,unknown
6598,29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown
6626,26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,2,-1,0,unknown
6631,26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown
6683,27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown
6751,25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,2,-1,0,unknown
6773,28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,-1,0,unknown
6774,23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown
6800,27,blue-collar,single,secondary,no,294,yes,yes,unknown,28,may,694,2,-1,0,unknown
6821,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown
6823,46,technician,married,secondary,no,57,no,no,unknown,28,may,796,1,-1,0,unknown
6838,23,student,single,unknown,no,854,yes,no,unknown,28,may,664,2,-1,0,unknown
6854,57,retired,married,tertiary,no,0,yes,yes,unknown,28,may,648,1,-1,0,unknown
6874,34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown
6918,28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,-1,0,unknown
7048,51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,-1,0,unknown
7090,35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,1,-1,0,unknown
7123,35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown
7145,27,blue-collar,single,secondary,no,2486,yes,no,unknown,29,may,733,1,-1,0,unknown
7164,56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown
7191,45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown
7242,60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,1,-1,0,unknown
7281,56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,2,-1,0,unknown
7324,33,blue-collar,single,primary,no,127,yes,no,unknown,29,may,1059,2,-1,0,unknown
7334,27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown
7348,30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown
7379,45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,2,-1,0,unknown
7457,29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,-1,0,unknown
7460,38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,2,-1,0,unknown
7464,34,blue-collar,married,primary,no,1031,yes,no,unknown,29,may,751,3,-1,0,unknown
7480,30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown
7481,44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown
7543,36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,-1,0,unknown
7555,40,technician,single,secondary,no,5637,yes,no,unknown,30,may,553,3,-1,0,unknown
7590,38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown
7611,36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,2,-1,0,unknown
7632,37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,-1,0,unknown
7635,35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,1,-1,0,unknown
7637,48,technician,married,secondary,yes,0,no,no,unknown,30,may,682,1,-1,0,unknown
7659,38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,-1,0,unknown
7666,40,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,-1,0,unknown
7668,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,-1,0,unknown
7674,46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown
7728,35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,10,-1,0,unknown
7732,34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,-1,0,unknown
7739,29,self-employed,single,tertiary,no,121,yes,no,unknown,30,may,1500,2,-1,0,unknown
7744,32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,2,-1,0,unknown
7763,50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown
7767,35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,-1,0,unknown
7795,36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,-1,0,unknown
7811,53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,2,-1,0,unknown
7821,32,technician,single,secondary,no,562,yes,no,unknown,30,may,722,3,-1,0,unknown
7851,46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,-1,0,unknown
7866,26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,-1,0,unknown
7914,45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown
7916,31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,-1,0,unknown
7922,29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,12,-1,0,unknown
7926,53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown
7953,27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,-1,0,unknown
8014,39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,2,-1,0,unknown
8017,36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,-1,0,unknown
8021,41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,-1,0,unknown
8034,36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown
8082,32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown
8084,35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown
8139,36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown
8160,35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,-1,0,unknown
8186,30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,2,-1,0,unknown
8213,42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown
8218,42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown
8267,32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown
8340,40,unemployed,married,secondary,no,1960,yes,no,unknown,2,jun,605,6,-1,0,unknown
8344,29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,14,-1,0,unknown
8345,44,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,4,-1,0,unknown
8383,32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,3,-1,0,unknown
8392,31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,2,-1,0,unknown
8442,40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,3,-1,0,unknown
8459,43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown
8489,27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,-1,0,unknown
8522,37,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,3,-1,0,unknown
8559,23,services,single,secondary,no,425,yes,no,unknown,3,jun,768,1,-1,0,unknown
8564,25,management,married,primary,no,168,yes,no,unknown,3,jun,801,1,-1,0,unknown
8570,26,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482,2,-1,0,unknown
8572,47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,2,-1,0,unknown
8628,45,services,single,primary,no,1893,yes,no,unknown,3,jun,1259,6,-1,0,unknown
8646,35,admin.,married,secondary,no,-87,yes,no,unknown,3,jun,1363,7,-1,0,unknown
8706,32,technician,single,tertiary,no,6281,yes,no,unknown,3,jun,1336,4,-1,0,unknown
8718,45,management,divorced,secondary,no,644,yes,no,unknown,4,jun,633,1,-1,0,unknown
8731,24,blue-collar,married,secondary,no,-389,yes,yes,unknown,4,jun,1242,1,-1,0,unknown
8744,30,admin.,divorced,secondary,no,377,yes,no,unknown,4,jun,524,15,-1,0,unknown
8745,33,blue-collar,single,secondary,no,76,yes,no,unknown,4,jun,1141,4,-1,0,unknown
8755,29,services,single,secondary,no,-271,yes,no,unknown,4,jun,578,1,-1,0,unknown
8760,38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,2,-1,0,unknown
8787,23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,1,-1,0,unknown
8811,27,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,2,-1,0,unknown
8817,27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,2,-1,0,unknown
8821,29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,-1,0,unknown
8832,30,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,6,-1,0,unknown
8834,36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,1,-1,0,unknown
8884,27,blue-collar,married,secondary,no,419,yes,no,unknown,4,jun,1181,2,-1,0,unknown
